2015 05 04   11.48   14.06    3.16   18.54    7.06   13.50              0.64              0.64              7.09              7.05
2015 05 05   12.33   12.74    3.47   17.91    5.57   11.53              0.66              0.66              7.08              6.96
2015 05 06    8.52   12.04    6.84   16.05    7.53   11.84              0.46              0.46              -999              4.92
2015 05 07   11.70   13.96    6.29   20.52    8.82   13.63              0.54              0.54              -999              5.76
2015 05 08    8.91   13.58    8.52   17.93    9.03   13.27              0.40              0.40              -999              4.31
2015 05 09   11.03   15.99    7.30   21.29   10.26   15.04              0.61              0.61              6.82              6.62
2015 05 10   13.62   17.25    7.07   22.93    9.31   16.20              0.61              0.61              6.88              6.80
2015 05 11   11.11   16.11   10.55   21.73   10.62   15.95              0.31              0.31              -999              3.39
2015 05 12    6.87   13.91    8.43   16.64    9.77   12.79              0.53              0.53              -999              5.78
2015 05 13   10.50   15.55   10.22   20.38    9.89   14.89              0.65              0.65              7.00              6.98
2015 05 14   12.33   17.31   12.79   22.76   10.43   16.45              0.53              0.53              -999              5.78
2015 05 15   11.66   15.31   10.42   21.11    9.46   15.31              0.43              0.43              -999              4.76
2015 05 16   15.10   15.59    4.36   23.08    7.98   15.19              0.66              0.66              7.31              7.25
2015 05 17   12.89   15.69    5.78   22.17    9.28   15.54              0.57              0.57              -999              6.28
2015 05 18    8.76   15.07    8.99   19.31   10.55   14.73              0.44              0.44              -999              4.92
2015 05 19   11.10   15.41   10.71   20.39    9.29   14.37              0.11              0.11              -999              1.28
2015 05 20   13.38   15.67    6.75   20.81    7.43   14.66              0.64              0.64              7.18              7.14
2015 05 21   13.96   16.80    8.51   23.52    9.56   15.86              0.64              0.64              7.23              7.11
2015 05 22   14.73   17.81    9.61   24.81   10.07   16.98              0.62              0.62              7.26              7.22
2015 05 23   12.88   18.61    7.33   25.06   12.17   18.03              0.61              0.61              7.21              7.08
2015 05 24   14.79   19.36    6.93   26.54   11.74   18.43              0.65              0.65              7.34              7.32
2015 05 25   16.21   20.29    9.54   28.39   12.18   19.22              0.61              0.61              7.27              7.14
2015 05 26   14.40   19.71    9.64   26.49   12.09   18.60              0.65              0.65              7.44              7.27
2015 05 27   14.83   20.80    8.69   28.08   13.25   20.39              0.65              0.65              7.48              7.44
2015 05 28   13.86   22.03    9.07   28.82   14.97   21.52              0.64              0.64              7.26              7.18
2015 05 29   11.05   21.15    9.96   27.36   16.31   20.91              0.51              0.51              -999              5.82
2015 05 30   12.19   19.46   11.23   24.70   12.51   18.69              0.16              0.16              -999              1.84
2015 05 31   16.03   20.30    8.26   27.28   11.26   19.00              0.61              0.61              -999              6.84
2015 06 01   12.02   19.50   10.34   24.27   12.25   18.71              0.45              0.45              -999              5.18
2015 06 02   11.85   21.57   10.03   26.92   15.07   20.45              0.57              0.57              -999              6.36
2015 06 03   13.46   20.53    7.17   26.31   12.85   19.87              0.64              0.64              7.14              7.13
2015 06 04   15.00   21.34    8.15   28.04   13.03   20.18              0.62              0.62              -999              6.99
2015 06 05    7.13   19.20   11.23   21.84   14.71   18.01              0.31              0.31              -999              3.49
2015 06 06   12.80   20.86   11.52   25.58   12.78   19.39              0.56              0.56              -999              6.61
2015 06 07   11.01   21.88   11.85   26.72   15.71   20.59              0.54              0.54              -999              6.19
